rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
160,"spotify:track:1AihfrCX3coaNBjfE2KGCg","Ysrael Barajas","PLÁTICA CON CUPIDO","Sony Music México",160,198,2,"1467399"
161,"spotify:track:2O3V4meZv0bEc1LPITGvcC","Eden Muñoz, COSME TADEO","La Nena","EMC Music/Sony Music México",93,129,13,"1466216"
162,"spotify:track:4MUrUT38U98olfnyzMBCzm","Bad Bunny","KLOuFRENS","Rimas Entertainment LLC.",28,127,25,"1454093"
163,"spotify:track:1nULBrlzWatdcjA2ZctIMv","Zoé","Labios Rotos - En Vivo Desde México / 2010","EMI México",137,185,120,"1451299"
164,"spotify:track:6ifUES3keWjwXgae8pXI3o","Danny Ocean","Me Rehúso","Atlantic Records",1,143,432,"1450605"
165,"spotify:track:6Z0ybnsUBhbZ9ZjPW64eoF","Belanova","Rosa Pastel","Universal Music Mexico",22,-1,132,"1440175"
166,"spotify:track:3rdAz1fbUfZxYgaCviYhRo","Rauw Alejandro","Todo De Ti","Sony Music Latin/Duars Entertainment",1,158,182,"1439677"
167,"spotify:track:1B1maIpcMpPDZ8GT0WHT0V","KAROL G","Milagros","Bichota/Interscope Records",67,176,7,"1425404"
168,"spotify:track:42UBPzRMh5yyz0EDPr6fr1","Sabrina Carpenter","Manchild","Island Records",119,119,3,"1423916"
169,"spotify:track:6Sv0CzVqzydd7NYQgAG70c","KAROL G","Ivonny Bonita","Bichota/Interscope Records",169,-1,1,"1422358"
170,"spotify:track:3w1h7uNU1Dfk2tOaHiIGat","Fuerza Regida","PERO NO TE ENAMORES","Rancho Humilde/Street Mob Records",40,187,45,"1420618"
171,"spotify:track:3lGMtkONrZdJ8kTCg6KIFf","Natalia Lafourcade","Hasta la Raíz","RCA Records Label",15,148,251,"1418213"
172,"spotify:track:6r6IPuFvUX72kQGc9b46rk","emmanuellcortess_","Amor","RC Music",20,165,55,"1412653"
